ID,目次,校区名,date,戦没地,名寄せ
38060,北九州市八幡東区,槻田五区,1945-03-10,レイテ島,フィリピン方面
38061,北九州市八幡東区,槻田五区,1945-08-23,ジャワ島,ジャワ
38063,北九州市八幡東区,槻田五区,1944-10-18,菲島方面,フィリピン方面
38064,北九州市八幡東区,槻田五区,1944-10-20,マンダレー,ビルマ方面
38065,北九州市八幡東区,槻田五区,1945-03-19,西部ニューギニア,ニューギニア方面
38066,北九州市八幡東区,槻田五区,1945-06-01,北ボルネオ,ボルネオ
38067,北九州市八幡東区,槻田五区,1945-04-04,マニラ島,フィリピン方面
38068,北九州市八幡東区,槻田五区,1945-01-19,中國,中国
38069,北九州市八幡東区,槻田五区,1944-05-08,北太平洋,太平洋方面
38070,北九州市八幡東区,槻田五区,1945-05-20,ルソン島,フィリピン方面
38072,北九州市八幡東区,槻田五区,1945-04-28,フィリピン方面,フィリピン方面
38073,北九州市八幡東区,槻田五区,1944-11-17,済州島沖,朝鮮
38074,北九州市八幡東区,槻田五区,1944-10-22,ヤップ島,ミクロネシア
38075,北九州市八幡東区,槻田五区,1945-02-02,南方フィリピン,フィリピン方面
38076,北九州市八幡東区,槻田五区,1945-06-20,沖縄本島,沖縄
38077,北九州市八幡東区,槻田五区,1944-05-31,ニューギニア,ニューギニア方面
38078,北九州市八幡東区,槻田五区,1945-04-09,佐世保,その他国内
38080,北九州市八幡東区,槻田五区,1945-07-15,ミンダナオ島,フィリピン方面
38081,北九州市八幡東区,槻田五区,1944-09-15,ビルマ,ビルマ方面
38082,北九州市八幡東区,槻田五区,1942-02-02,広島陸軍病院,その他国内
38083,北九州市八幡東区,槻田五区,1945-08-15,中国,中国
38084,北九州市八幡東区,槻田五区,1944-12-07,南方方面,太平洋方面
38085,北九州市八幡東区,槻田五区,1944-07-15,ビスマルク群島,ソロモン・ビスマルク諸島
38086,北九州市八幡東区,槻田五区,1945-06-30,ビルマルク群島,ビルマ方面
38087,北九州市八幡東区,槻田五区,1947-05-10,戦病死,その他
38088,北九州市八幡東区,槻田五区,1944-05-24,西部ニューギニア,ニューギニア方面
38089,北九州市八幡東区,槻田五区,1945-03-12,ビルマ国,ビルマ方面
38090,北九州市八幡東区,槻田五区,1944-06-19,南洋群島方面,ミクロネシア
38091,北九州市八幡東区,槻田五区,1943-09-17,馬来昭南港,シンガポール
38092,北九州市八幡東区,槻田五区,1944-09-13,南方方面,太平洋方面
38093,北九州市八幡東区,枝光,1944-10-26,フィリピン,フィリピン方面
38094,北九州市八幡東区,枝光,1944-11-19,ビルマ,ビルマ方面
38095,北九州市八幡東区,枝光,1944-05-24,フィリピン,フィリピン方面
38096,北九州市八幡東区,枝光,1944-07-15,南方方面,太平洋方面
38097,北九州市八幡東区,枝光,1945-07-27,ビルマ,ビルマ方面
38098,北九州市八幡東区,枝光,1945-06-07,比島ルソン島,フィリピン方面
38099,北九州市八幡東区,枝光,1944-06-13,ビルマ,ビルマ方面
38100,北九州市八幡東区,枝光,1945-01-21,ビルマ,ビルマ方面
